PL;Polska;38536869
DE;Niemcy;82422299
FR;Francja;62752136
GB;Wielka Brytania;60609153
UK;Ukraina;46710816
S;Szwajcaria;7523934
N;Norwegia;4610820
RUS;Rosja;142893540
